证券代码,证券名称,买入日期,卖出日期,买入持仓,交易盈亏
002236,大华股份,2025-08-17,2025-08-18,354705.0,-4405.69
002240,盛新锂能,2025-06-19,2025-06-20,270246.0,5723.0
002251,步步高,2025-08-27,2025-08-28,270240.0,5122.74
002261,拓维信息,2025-04-17,2025-04-18,85140.0,2348.6
002261,拓维信息,2025-04-25,2025-04-28,9129.0,246.31
002268,电科网安,2025-06-19,2025-06-20,271016.0,-6551.0
002272,川润股份,2025-06-20,2025-06-23,270480.0,189.08
002275,桂林三金,2025-06-04,2025-06-04,157542.54,0.0
002277,友阿股份,2025-04-18,2025-04-21,80220.0,2009.68
002278,神开股份,2025-07-28,2025-07-29,380895.0,-16229.04
002281,光迅科技,2025-07-28,2025-07-29,383834.0,-4061.27
002283,天润工业,2025-08-18,2025-08-20,360684.0,-4411.8
002285,世联行,2025-04-25,2025-04-28,77308.0,-4857.9400000000005
002313,日海智能,2025-04-23,2025-04-24,40436.0,-1282.88
002315,焦点科技,2025-04-30,2025-04-30,42300.0,-420.0
002354,天娱数科,2025-04-25,2025-04-28,40528.0,629.55
002361,神剑股份,2025-05-15,2025-05-16,154108.0,-3914.0
002363,隆基机械,2025-06-10,2025-06-11,241780.0,-7392.380000000001
002369,卓翼科技,2025-08-21,2025-08-22,350592.0,18734.91
002384,东山精密,2025-08-28,2025-08-28,91410.0,-15.73
002389,航天彩虹,2025-06-03,2025-06-04,192780.0,-5386.08
002391,长青股份,2025-06-06,2025-06-09,250076.0,21778.420000000002
002410,广联达,2025-08-23,2025-08-27,380928.0,3888.1
002420,毅昌科技,2025-07-31,2025-08-01,38106.0,-1718.23
002422,科伦药业,2025-04-30,2025-05-06,43452.0,-405.14
002426,胜利精密,2025-08-23,2025-08-27,86878.0,-5759.92
002440,闰土股份,2025-05-06,2025-05-06,81196.0,-20.0
002453,华软科技,2025-06-24,2025-06-25,280462.0,-1197.79
002465,海格通信,2025-05-19,2025-05-20,160720.0,2873.0
002467,二六三,2025-06-27,2025-06-30,280117.0,-2551.0
002510,天汽模,2025-04-22,2025-04-23,78658.0,-2743.0
002516,旷达科技,2025-08-13,2025-08-13,360444.0,0.0
002517,恺英网络,2025-06-30,2025-07-01,291581.0,9065.92
002519,银河电子,2025-05-08,2025-05-09,100572.0,1074.9099999999999
002520,日发精机,2025-05-08,2025-05-09,148074.0,-3764.27
002530,金财互联,2025-06-24,2025-06-25,271135.0,-6475.67
002556,辉隆股份,2025-06-11,2025-06-11,250551.0,-40.09
002558,巨人网络,2025-06-03,2025-06-04,194544.0,118.98999999999978
002579,中京电子,2025-06-18,2025-06-20,540600.0,83613.01999999999
002580,圣阳股份,2025-05-21,2025-05-22,151182.0,5471.0
002583,海能达,2025-04-18,2025-04-21,82320.0,5790.54
002583,海能达,2025-06-12,2025-06-16,250200.0,812.34
002584,西陇科学,2025-04-17,2025-04-18,81360.0,2857.65
002609,捷顺科技,2025-06-26,2025-06-27,280332.0,2574.0
002632,道明光学,2025-06-10,2025-06-11,242730.0,-11553.15
002636,金安国纪,2025-07-03,2025-07-04,370129.0,36977.0
002639,雪人集团,2025-07-23,2025-07-24,350064.0,15655.47
