date,nav_unit,nav_accumulated,nav_adjusted,399852.SZ,excess_nav
2022-08-26,1.0,1.0,1.0,1.0,1.0
2022-09-02,1.0,1.0,1.0,0.9709,1.0291
2022-09-09,1.0,1.0,1.0,0.9905,1.0095
2022-09-16,0.9709,0.9709,0.9709,0.9285,1.0424
2022-09-23,0.9789,0.9789,0.9789,0.9117,1.0672
2022-09-30,0.9559,0.9559,0.9559,0.8775,1.0784
2022-10-14,0.9708,0.9708,0.9708,0.9178,1.053
2022-10-21,0.9829,0.9829,0.9829,0.9215,1.0614
2022-10-28,1.0332,1.0332,1.0332,0.8939,1.1393
2022-11-04,1.045,1.045,1.045,0.9612,1.0838
2022-11-11,1.0455,1.0455,1.0455,0.9518,1.0937
2022-11-18,1.057,1.057,1.057,0.9539,1.1031
2022-11-25,1.0784,1.0784,1.0784,0.933,1.1454
2022-12-02,1.0159,1.0159,1.0159,0.9571,1.0588
2022-12-09,1.0072,1.0072,1.0072,0.957,1.0502
2022-12-16,0.9939,0.9939,0.9939,0.934,1.0599
2022-12-23,1.0548,1.0548,1.0548,0.8826,1.1722
2022-12-30,1.0287,1.0287,1.0287,0.8999,1.1288
2023-01-06,1.0213,1.0213,1.0213,0.9313,1.09
2023-01-13,1.0507,1.0507,1.0507,0.9337,1.117
2023-01-20,1.0872,1.0872,1.0872,0.9651,1.1221
2023-02-03,1.1107,1.1107,1.1107,0.9921,1.1186
2023-02-10,1.0921,1.0921,1.0921,0.9993,1.0928
2023-02-17,1.0552,1.0552,1.0552,0.984,1.0712
2023-02-24,1.0317,1.0317,1.0317,0.9949,1.0368
2023-03-03,1.0281,1.0281,1.0281,0.9982,1.0299
2023-03-10,0.9981,0.9981,0.9981,0.9739,1.0242
2023-03-17,0.9481,0.9481,0.9481,0.9651,0.983
2023-03-24,0.9601,0.9601,0.9601,0.9839,0.9762
2023-03-31,0.952,0.952,0.952,0.985,0.967
2023-04-07,0.9878,0.9878,0.9878,1.009,0.9788
2023-04-14,0.9818,0.9818,0.9818,1.0057,0.9761
2023-04-21,1.0205,1.0205,1.0205,0.9704,1.0501
2023-04-28,1.0712,1.0712,1.0712,0.9632,1.108
2023-05-05,1.0712,1.0712,1.0712,0.9532,1.118
2023-05-12,1.0528,1.0528,1.0528,0.9364,1.1164
2023-05-19,1.0552,1.0552,1.0552,0.9459,1.1093
2023-05-26,1.0352,1.0352,1.0352,0.9379,1.0973
2023-06-02,1.036,1.036,1.036,0.9493,1.0867
2023-06-09,1.0468,1.0468,1.0468,0.9306,1.1162
2023-06-16,1.0946,1.0946,1.0946,0.9554,1.1392
2023-06-21,1.0843,1.0843,1.0843,0.9381,1.1462
2023-06-30,1.0781,1.0781,1.0781,0.9458,1.1323
2023-07-07,1.0469,1.0469,1.0469,0.9343,1.1126
2023-07-14,1.0599,1.0599,1.0599,0.9376,1.1223
2023-07-21,1.0333,1.0333,1.0333,0.9171,1.1162
2023-07-28,1.0623,1.0623,1.0623,0.9262,1.1361
2023-08-04,1.063,1.063,1.063,0.9363,1.1267
2023-08-11,1.0981,1.0981,1.0981,0.9032,1.1949
2023-08-18,1.1463,1.1463,1.1463,0.8764,1.2699
2023-08-25,1.2067,1.2067,1.2067,0.8422,1.3645
2023-09-01,1.1763,1.1763,1.1763,0.8749,1.3014
2023-09-08,1.1594,1.1594,1.1594,0.8743,1.2851
2023-09-15,1.1384,1.1384,1.1384,0.8709,1.2675
2023-09-22,1.1696,1.1696,1.1696,0.8674,1.3022
2023-09-28,1.1519,1.1519,1.1519,0.8709,1.281
2023-10-13,1.1508,1.1508,1.1508,0.8713,1.2795
2023-10-20,1.1955,1.1955,1.1955,0.8272,1.3683
2023-10-27,1.1633,1.1633,1.1633,0.8476,1.3157
2023-11-03,1.1805,1.1805,1.1805,0.8557,1.3248
2023-11-10,1.1911,1.1911,1.1911,0.8723,1.3188
2023-11-17,1.177,1.177,1.177,0.8881,1.2889
2023-11-24,1.2043,1.2043,1.2043,0.8761,1.3282
2023-12-01,1.2039,1.2039,1.2039,0.8782,1.3257
2023-12-08,1.2397,1.2397,1.2397,0.86,1.3797
2023-12-15,1.2461,1.2461,1.2461,0.8526,1.3935
2023-12-22,1.2993,1.2993,1.2993,0.8215,1.4778
2023-12-29,1.3036,1.3036,1.3036,0.8434,1.4602
2024-01-05,1.3146,1.3146,1.3146,0.8131,1.5015
2024-01-12,1.3459,1.3459,1.3459,0.7986,1.5473
2024-01-19,1.3752,1.3752,1.3752,0.7603,1.6149
2024-01-26,1.3951,1.3951,1.3951,0.755,1.6401
2024-02-02,1.4685,1.4685,1.4685,0.6554,1.8131
2024-02-08,1.6054,1.6054,1.6054,0.7153,1.8901
2024-02-23,1.612,1.612,1.612,0.7486,1.8634
2024-03-01,1.0963,1.6109,1.6092,0.7739,1.8353
2024-03-08,1.0996,1.6142,1.614,0.7694,1.8446
2024-03-15,1.0907,1.6053,1.6009,0.7959,1.805
2024-03-22,1.1041,1.6187,1.6206,0.8017,1.8189
2024-03-29,1.0922,1.6068,1.6032,0.7795,1.8237
2024-04-03,1.0845,1.5991,1.5918,0.7881,1.8037
2024-04-12,1.0723,1.5869,1.5739,0.7648,1.8091
2024-04-19,1.0699,1.5845,1.5704,0.7542,1.8162
2024-04-26,1.0876,1.6022,1.5964,0.7759,1.8205
2024-04-30,1.11,1.6246,1.6293,0.7876,1.8417
2024-05-10,1.0794,1.594,1.5844,0.7986,1.7858
2024-05-17,1.0859,1.6005,1.5939,0.797,1.7969
2024-05-24,1.1173,1.6319,1.64,0.7665,1.8735
2024-05-31,1.0966,1.6112,1.6096,0.7672,1.8424
2024-06-07,1.0995,1.6141,1.6139,0.7383,1.8756
2024-06-14,1.0623,1.5769,1.5593,0.7422,1.8171
2024-06-21,1.0951,1.6097,1.6074,0.7242,1.8832
2024-06-28,1.0956,1.6102,1.6081,0.7014,1.9067
2024-07-05,1.0947,1.6093,1.6068,0.6892,1.9176
2024-07-12,1.0775,1.5921,1.5816,0.6988,1.8828
2024-07-19,1.1032,1.6178,1.6193,0.6907,1.9286
2024-07-26,1.1447,1.6593,1.6802,0.6736,2.0066
2024-08-02,1.1294,1.644,1.6578,0.6891,1.9687
2024-08-09,1.1346,1.6492,1.6654,0.6737,1.9917
2024-08-16,1.1241,1.6387,1.65,0.667,1.983
2024-08-23,1.1299,1.6445,1.6585,0.644,2.0145
2024-08-30,1.1644,1.679,1.7091,0.6632,2.0459
2024-09-06,1.2379,1.7525,1.817,0.6459,2.1711
2024-09-13,1.2286,1.7432,1.8034,0.6322,2.1712
2024-09-20,1.2463,1.7609,1.8293,0.6394,2.1899
2024-09-27,1.2991,1.8137,1.9068,0.7359,2.1709
2024-09-30,1.3959,1.9105,2.0489,0.8179,2.231
2024-10-11,1.4819,1.9965,2.1752,0.776,2.3992
2024-10-18,1.4339,1.9485,2.1047,0.8237,2.281
2024-10-25,1.4218,1.9364,2.0869,0.856,2.2309
2024-11-01,1.3471,1.8617,1.9773,0.8496,2.1277
2024-11-08,1.34,1.8546,1.9669,0.9202,2.0467
2024-11-15,1.3399,1.8545,1.9667,0.8776,2.0891
2024-11-22,1.3281,1.8427,1.9494,0.8639,2.0855
2024-11-29,1.2901,1.8047,1.8936,0.8867,2.0069
2024-12-06,1.2984,1.813,1.9058,0.9097,1.9961
2024-12-13,1.2499,1.7645,1.8346,0.9104,1.9242
2024-12-20,1.3223,1.8369,1.9409,0.8985,2.0424
2024-12-27,1.3074,1.822,1.919,0.8842,2.0348
2025-01-03,1.4068,1.9214,2.0649,0.8059,2.259
2025-01-10,1.4174,1.932,2.0805,0.7944,2.2861
2025-01-17,1.411,1.9256,2.0711,0.8369,2.2342
2025-01-24,1.3769,1.8915,2.021,0.8507,2.1703
2025-01-27,1.3716,1.8862,2.0133,0.8375,2.1758
2025-02-07,1.3854,1.9,2.0335,0.8788,2.1547
2025-02-14,1.382,1.8966,2.0285,0.8952,2.1333
2025-02-21,1.3876,1.9022,2.0367,0.9239,2.1128
2025-02-28,1.3764,1.891,2.0203,0.8983,2.122
2025-03-07,1.3637,1.8783,2.0017,0.9323,2.0694
2025-03-14,1.37,1.8846,2.0109,0.9414,2.0695
2025-03-21,1.3758,1.8904,2.0194,0.9177,2.1017
2025-03-28,1.3428,1.8574,1.971,0.898,2.073
2025-04-03,1.3414,1.856,1.9689,0.8887,2.0802
2025-04-11,1.4392,1.9538,2.1125,0.8398,2.2727
2025-04-18,1.4401,1.9547,2.1138,0.8355,2.2783
2025-04-25,1.4111,1.9257,2.0712,0.8509,2.2203
2025-04-30,1.4348,1.9494,2.106,0.8524,2.2536
2025-05-09,1.4514,1.966,2.1304,0.8713,2.2591
2025-05-16,1.3705,1.8851,2.0116,0.8693,2.1423
2025-05-23,1.3673,1.8819,2.0069,0.8581,2.1488
2025-05-30,1.4269,1.9415,2.0944,0.8634,2.231
2025-06-06,1.4327,1.9473,2.1029,0.8815,2.2214
2025-06-13,1.4387,1.9533,2.1118,0.8748,2.237
2025-06-20,1.4252,1.9398,2.0919,0.8595,2.2324
2025-06-27,1.4528,1.9674,2.1324,0.8993,2.2331
2025-07-04,1.4149,1.9295,2.0768,0.9043,2.1725
2025-07-11,1.4116,1.9262,2.072,0.9256,2.1464
2025-07-18,1.4189,1.9335,2.0827,0.9387,2.144
