date,nav_unit,nav_accumulated,nav_adjusted,885007.WI,excess_nav
2024-10-16,1.0,1.0,1.0,1.0,1.0
2024-10-17,1.0,1.0,1.0,0.9993,1.0007
2024-10-18,1.0,1.0,1.0,1.0047,0.9953
2024-10-21,1.0,1.0,1.0,1.0062,0.9938
2024-10-22,1.0,1.0,1.0,1.0066,0.9934
2024-10-23,1.0,1.0,1.0,1.0066,0.9934
2024-10-24,1.0,1.0,1.0,1.0043,0.9957
2024-10-25,1.0,1.0,1.0,1.0061,0.9939
2024-10-28,1.0001,1.0001,1.0001,1.0069,0.9932
2024-10-29,1.0002,1.0002,1.0002,1.0046,0.9956
2024-10-30,1.0002,1.0002,1.0002,1.0035,0.9967
2024-10-31,1.0002,1.0002,1.0002,1.0041,0.9961
2024-11-01,1.0002,1.0002,1.0002,1.0041,0.9961
2024-11-04,1.0003,1.0003,1.0003,1.0068,0.9935
2024-11-05,1.0003,1.0003,1.0003,1.0109,0.9894
2024-11-06,1.0022,1.0022,1.0022,1.0104,0.9918
2024-11-07,1.0022,1.0022,1.0022,1.0142,0.988
2024-11-08,1.0023,1.0023,1.0023,1.0136,0.9887
2024-11-11,1.0043,1.0043,1.0043,1.0164,0.9879
2024-11-12,1.0043,1.0043,1.0043,1.0148,0.9895
2024-11-13,1.0044,1.0044,1.0044,1.015,0.9894
2024-11-14,1.0046,1.0046,1.0046,1.0112,0.9934
2024-11-15,1.0046,1.0046,1.0046,1.0085,0.9961
2024-11-18,1.0047,1.0047,1.0047,1.0062,0.9985
2024-11-19,1.0072,1.0072,1.0072,1.0088,0.9984
2024-11-20,1.0072,1.0072,1.0072,1.0104,0.9968
2024-11-21,1.0071,1.0071,1.0071,1.0109,0.9962
2024-11-22,1.0071,1.0071,1.0071,1.0066,1.0005
2024-11-25,1.008,1.008,1.008,1.0066,1.0014
2024-11-26,1.0079,1.0079,1.0079,1.0063,1.0016
2024-11-27,1.0079,1.0079,1.0079,1.0095,0.9984
2024-11-28,1.0079,1.0079,1.0079,1.0092,0.9987
2024-11-29,1.0089,1.0089,1.0089,1.0122,0.9967
2024-12-02,1.009,1.009,1.009,1.0154,0.9936
2024-12-03,1.0095,1.0095,1.0095,1.0155,0.994
2024-12-04,1.0096,1.0096,1.0096,1.0146,0.995
2024-12-05,1.0101,1.0101,1.0101,1.0154,0.9947
2024-12-06,1.0101,1.0101,1.0101,1.0175,0.9926
2024-12-09,1.0102,1.0102,1.0102,1.0181,0.9921
2024-12-10,1.0102,1.0102,1.0102,1.0213,0.9889
2024-12-11,1.0102,1.0102,1.0102,1.0233,0.9869
2024-12-12,1.0102,1.0102,1.0102,1.0258,0.9844
2024-12-13,1.0103,1.0103,1.0103,1.0235,0.9868
2024-12-16,1.0104,1.0104,1.0104,1.0221,0.9883
2024-12-17,1.0104,1.0104,1.0104,1.0202,0.9902
2024-12-18,1.0105,1.0105,1.0105,1.021,0.9895
2024-12-19,1.0106,1.0106,1.0106,1.0208,0.9898
2024-12-20,1.0114,1.0114,1.0114,1.0224,0.989
2024-12-23,1.0115,1.0115,1.0115,1.0212,0.9903
2024-12-24,1.0115,1.0115,1.0115,1.0228,0.9887
2024-12-25,1.0114,1.0114,1.0114,1.0217,0.9897
2024-12-26,1.0117,1.0117,1.0117,1.0227,0.989
2024-12-27,1.0118,1.0118,1.0118,1.0237,0.9881
2024-12-30,1.0118,1.0118,1.0118,1.0241,0.9877
2024-12-31,1.0118,1.0118,1.0118,1.0221,0.9897
2025-01-02,1.0124,1.0124,1.0124,1.0196,0.9928
2025-01-03,1.0124,1.0124,1.0124,1.0181,0.9943
2025-01-06,1.0123,1.0123,1.0123,1.0176,0.9947
2025-01-07,1.0123,1.0123,1.0123,1.0192,0.9931
2025-01-08,1.0124,1.0124,1.0124,1.0188,0.9936
2025-01-09,1.0124,1.0124,1.0124,1.0184,0.994
2025-01-10,1.0124,1.0124,1.0124,1.0165,0.9959
2025-01-13,1.0125,1.0125,1.0125,1.0156,0.9969
2025-01-14,1.0279,1.0279,1.0279,1.0206,1.0073
2025-01-15,1.028,1.028,1.028,1.0203,1.0077
2025-01-16,1.0279,1.0279,1.0279,1.0203,1.0076
2025-01-17,1.028,1.028,1.028,1.0213,1.0067
2025-01-20,1.0232,1.0232,1.0232,1.0222,1.001
2025-01-21,1.0233,1.0233,1.0233,1.0234,0.9999
2025-01-22,1.0245,1.0245,1.0245,1.0225,1.002
2025-01-23,1.0245,1.0245,1.0245,1.0218,1.0027
2025-01-24,1.0238,1.0238,1.0238,1.0241,0.9997
2025-01-27,1.0366,1.0366,1.0366,1.0238,1.0128
2025-02-05,1.0371,1.0371,1.0371,1.024,1.0131
2025-02-06,1.0383,1.0383,1.0383,1.0276,1.0107
2025-02-07,1.038,1.038,1.038,1.0299,1.0081
2025-02-10,1.0437,1.0437,1.0437,1.0303,1.0134
2025-02-11,1.0445,1.0445,1.0445,1.0296,1.0149
2025-02-12,1.0561,1.0561,1.0561,1.0314,1.0247
2025-02-13,1.0634,1.0634,1.0634,1.0299,1.0335
2025-02-14,1.0616,1.0616,1.0616,1.0307,1.0309
2025-02-17,1.0587,1.0587,1.0587,1.0303,1.0284
2025-02-18,1.062,1.062,1.062,1.0277,1.0343
2025-02-19,1.0612,1.0612,1.0612,1.0307,1.0305
2025-02-20,1.0624,1.0624,1.0624,1.0306,1.0318
2025-02-21,1.0648,1.0648,1.0648,1.0325,1.0323
2025-02-24,1.0655,1.0655,1.0655,1.0311,1.0344
2025-02-25,1.0695,1.0695,1.0695,1.0299,1.0396
2025-02-26,1.0702,1.0702,1.0702,1.0326,1.0376
2025-02-27,1.0708,1.0708,1.0708,1.0318,1.039
2025-02-28,1.0722,1.0722,1.0722,1.0271,1.0451
2025-03-03,1.0726,1.0726,1.0726,1.0272,1.0454
2025-03-04,1.0772,1.0772,1.0772,1.0283,1.0489
2025-03-05,1.0786,1.0786,1.0786,1.0298,1.0488
2025-03-06,1.0831,1.0831,1.0831,1.0324,1.0507
