date,nav_unit,nav_accumulated,nav_adjusted,885007.WI,excess_nav
2024-12-31,1.0,1.0,1.0,1.0,1.0
2025-01-02,1.0066,1.0066,1.0066,0.9975,1.0091
2025-01-03,1.0022,1.0022,1.0022,0.996,1.0062
2025-01-06,1.0039,1.0039,1.0039,0.9956,1.0083
2025-01-07,1.0107,1.0107,1.0107,0.9972,1.0135
2025-01-08,1.0107,1.0107,1.0107,0.9967,1.014
2025-01-09,1.016,1.016,1.016,0.9964,1.0196
2025-01-10,1.0093,1.0093,1.0093,0.9945,1.0148
2025-01-13,1.011,1.011,1.011,0.9936,1.0174
2025-01-14,1.0252,1.0252,1.0252,0.9985,1.0267
2025-01-15,1.0278,1.0278,1.0278,0.9982,1.0296
2025-01-16,1.0315,1.0315,1.0315,0.9982,1.0333
2025-01-17,1.017,1.017,1.017,0.9992,1.0178
2025-01-20,1.0189,1.0189,1.0189,1.0001,1.0188
2025-01-21,1.0193,1.0193,1.0193,1.0013,1.018
2025-01-22,1.0236,1.0236,1.0236,1.0004,1.0232
2025-01-23,1.0155,1.0155,1.0155,0.9997,1.0158
2025-01-24,1.0144,1.0144,1.0144,1.0019,1.0125
2025-01-27,0.9973,0.9973,0.9973,1.0016,0.9957
2025-02-05,0.9862,0.9862,0.9862,1.0018,0.9844
2025-02-06,0.9856,0.9856,0.9856,1.0054,0.9802
2025-02-07,0.987,0.987,0.987,1.0076,0.9794
2025-02-10,0.9884,0.9884,0.9884,1.008,0.9804
2025-02-11,0.9873,0.9873,0.9873,1.0073,0.98
2025-02-12,0.998,0.998,0.998,1.0091,0.9889
2025-02-13,0.9974,0.9974,0.9974,1.0076,0.9898
2025-02-14,1.0029,1.0029,1.0029,1.0084,0.9945
2025-02-17,1.017,1.017,1.017,1.008,1.009
2025-02-18,1.0132,1.0132,1.0132,1.0055,1.0077
2025-02-19,1.0236,1.0236,1.0236,1.0084,1.0152
2025-02-20,1.0289,1.0289,1.0289,1.0083,1.0206
2025-02-21,1.0261,1.0261,1.0261,1.0102,1.0159
2025-02-24,1.0287,1.0287,1.0287,1.0088,1.0199
2025-02-25,1.0321,1.0321,1.0321,1.0076,1.0245
2025-02-26,1.0482,1.0482,1.0482,1.0103,1.0379
2025-02-27,1.0529,1.0529,1.0529,1.0095,1.0434
2025-02-28,1.0336,1.0336,1.0336,1.0049,1.0287
2025-03-03,1.0252,1.0252,1.0252,1.005,1.0202
2025-03-04,1.0292,1.0292,1.0292,1.0061,1.0231
2025-03-05,1.0434,1.0434,1.0434,1.0075,1.0359
2025-03-06,1.0441,1.0441,1.0441,1.01,1.0341
2025-03-07,1.044,1.044,1.044,1.009,1.035
2025-03-10,1.0441,1.0441,1.0441,1.0087,1.0354
2025-03-11,1.0426,1.0426,1.0426,1.0075,1.0351
2025-03-12,1.0421,1.0421,1.0421,1.0079,1.0342
2025-03-13,1.0457,1.0457,1.0457,1.0066,1.0391
2025-03-14,1.0328,1.0328,1.0328,1.0102,1.0226
2025-03-17,1.0432,1.0432,1.0432,1.0096,1.0336
2025-03-18,1.0476,1.0476,1.0476,1.0105,1.0371
2025-03-19,1.0526,1.0526,1.0526,1.0098,1.0428
2025-03-20,1.0576,1.0576,1.0576,1.0095,1.0481
2025-03-21,1.0567,1.0567,1.0567,1.0064,1.0503
2025-03-24,1.0571,1.0571,1.0571,1.0067,1.0504
2025-03-25,1.0469,1.0469,1.0469,1.0071,1.0398
2025-03-26,1.0493,1.0493,1.0493,1.0078,1.0415
2025-03-27,1.0357,1.0357,1.0357,1.0081,1.0276
2025-03-28,1.032,1.032,1.032,1.0069,1.0251
2025-03-31,1.0265,1.0265,1.0265,1.0056,1.0209
2025-04-01,1.0267,1.0267,1.0267,1.0066,1.0201
2025-04-02,1.0287,1.0287,1.0287,1.0074,1.0213
2025-04-03,1.0337,1.0337,1.0337,1.0071,1.0266
2025-04-07,1.0276,1.0276,1.0276,0.994,1.0336
2025-04-08,1.0627,1.0627,1.0627,0.9957,1.067
2025-04-09,1.0571,1.0571,1.0571,0.9984,1.0587
2025-04-10,1.0648,1.0648,1.0648,1.0017,1.0631
2025-04-11,1.0574,1.0574,1.0574,1.0021,1.0553
2025-04-14,1.0722,1.0722,1.0722,1.0033,1.0689
2025-04-15,1.0766,1.0766,1.0766,1.0026,1.074
2025-04-16,1.0791,1.0791,1.0791,1.0017,1.0774
2025-04-17,1.0701,1.0701,1.0701,1.0019,1.0682
2025-04-18,1.071,1.071,1.071,1.0018,1.0692
