复权净值,累计净值,最大回撤,单位净值,涨跌幅,日期,管理人名称,产品代码,产品名称,产品简称,管理人规模,策略类型
1.001,1.001,0.0,1.001,0.0,2017-06-30,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-07-03,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-07-04,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-07-05,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0,2017-07-06,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
0.998,0.998,-0.002997002997002889,0.998,-0.002997002997002889,2017-07-07,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.001,1.001,0.0,1.001,0.0030060120240479877,2017-07-10,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.008,1.008,0.0,1.008,0.006993006993007111,2017-07-11,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.012,1.012,0.0,1.012,0.0039682539682539715,2017-07-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.012,1.012,0.0,1.012,0.0,2017-07-13,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0019762845849802388,1.01,-0.0019762845849802388,2017-07-14,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.011,1.011,-0.000988142292490229,1.011,0.000990099009900881,2017-07-17,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.015,1.015,0.0,1.015,0.003956478733926809,2017-07-18,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.019,1.019,0.0,1.019,0.003940886699507393,2017-07-19,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.018,1.018,-0.0009813542688909616,1.018,-0.0009813542688909616,2017-07-20,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.017,1.017,-0.0019627085377821414,1.017,-0.0009823182711199527,2017-07-21,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.014,1.014,-0.004906771344455245,1.014,-0.002949852507374525,2017-07-24,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
