date,nav_adjusted,H11009.CSI,excess_nav
2018-06-29,1.0,1.0,1.0
2018-07-06,1.006,1.0037,1.0023
2018-07-13,1.018,1.0047,1.0133
2018-07-20,1.035,1.0074,1.0276
2018-07-27,1.047,1.0086,1.0384
2018-08-03,1.0941,1.0136,1.0805
2018-08-10,1.1261,1.0131,1.113
2018-08-17,1.1592,1.0105,1.1487
2018-08-24,1.1782,1.0098,1.1684
2018-08-31,1.2052,1.0108,1.1944
2018-09-07,1.2032,1.0106,1.1926
2018-09-14,1.1782,1.0104,1.1678
2018-09-21,1.1702,1.0109,1.1593
2018-09-28,1.1662,1.0132,1.153
2018-10-12,1.2002,1.0168,1.1834
2018-10-19,1.2042,1.0188,1.1854
2018-10-26,1.2042,1.0208,1.1834
2018-11-02,1.2122,1.0227,1.1895
2018-11-09,1.2132,1.0252,1.188
2018-11-16,1.2182,1.0298,1.1884
2018-11-23,1.2412,1.0311,1.2101
2018-11-30,1.2763,1.0322,1.2441
2018-12-07,1.2693,1.0358,1.2335
2018-12-14,1.2753,1.0362,1.2391
2018-12-21,1.2603,1.0368,1.2235
2018-12-28,1.2793,1.0393,1.24
2019-01-04,1.2873,1.0441,1.2432
2019-01-11,1.2833,1.0467,1.2366
2019-01-18,1.2753,1.0478,1.2275
2019-01-25,1.2743,1.0472,1.2271
2019-02-01,1.2773,1.0488,1.2285
2019-02-15,1.2943,1.0515,1.2428
2019-02-22,1.3273,1.0512,1.2761
2019-03-01,1.3644,1.0491,1.3153
2019-03-08,1.3604,1.05,1.3104
2019-03-15,1.3674,1.0499,1.3175
2019-03-22,1.3804,1.0509,1.3295
2019-03-29,1.3774,1.0533,1.3241
2019-04-04,1.3774,1.0502,1.3272
2019-04-12,1.3884,1.0492,1.3392
2019-04-19,1.3898,1.047,1.3428
2019-04-26,1.4063,1.0464,1.3599
2019-04-30,1.4201,1.0469,1.3732
2019-05-10,1.4173,1.0513,1.366
2019-05-17,1.4394,1.0533,1.3861
2019-05-24,1.4325,1.0535,1.379
2019-05-31,1.4435,1.0545,1.389
2019-06-06,1.4545,1.0565,1.398
2019-06-14,1.4642,1.0568,1.4074
2019-06-21,1.4738,1.0587,1.4151
2019-06-28,1.5041,1.06,1.4441
2019-07-05,1.4903,1.0634,1.4269
2019-07-12,1.5234,1.064,1.4594
2019-07-19,1.5192,1.0647,1.4545
2019-07-26,1.5165,1.0658,1.4507
2019-08-02,1.522,1.0681,1.4539
2019-08-09,1.4972,1.0715,1.4257
2019-08-16,1.5151,1.0733,1.4418
2019-08-23,1.5206,1.0732,1.4474
2019-08-30,1.5082,1.0734,1.4348
2019-09-06,1.5096,1.0751,1.4345
2019-09-12,1.511,1.0749,1.4361
2019-09-20,1.5,1.0746,1.4254
2019-09-27,1.5027,1.0744,1.4283
2019-09-30,1.5013,1.0748,1.4265
2019-10-11,1.4972,1.0758,1.4214
2019-10-18,1.5,1.0756,1.4244
2019-10-25,1.5096,1.075,1.4346
2019-11-01,1.5082,1.0731,1.4351
2019-11-08,1.5275,1.0748,1.4527
2019-11-15,1.5909,1.0767,1.5142
2019-11-22,1.5936,1.0804,1.5132
2019-11-29,1.5964,1.0811,1.5153
2019-12-06,1.5812,1.0816,1.4996
2019-12-13,1.5826,1.0828,1.4998
2019-12-20,1.5812,1.0838,1.4974
2019-12-27,1.573,1.0871,1.4859
2020-01-03,1.5771,1.0877,1.4894
2020-01-10,1.5716,1.0897,1.4819
2020-01-17,1.5344,1.091,1.4434
2020-01-23,1.5303,1.0943,1.436
2020-02-07,1.5261,1.1023,1.4238
2020-02-14,1.5248,1.1039,1.4209
2020-02-21,1.522,1.1042,1.4178
2020-02-28,1.5482,1.1077,1.4405
2020-03-06,1.5551,1.1101,1.445
2020-03-13,1.6113,1.112,1.4993
2020-03-20,1.6176,1.111,1.5066
2020-03-27,1.6739,1.1149,1.559
2020-04-03,1.6781,1.1174,1.5607
2020-04-10,1.6964,1.1259,1.5705
2020-04-17,1.7479,1.1279,1.62
2020-04-24,1.7573,1.1305,1.6268
2020-04-30,1.7629,1.1316,1.6313
2020-05-08,1.7848,1.1291,1.6557
2020-05-15,1.7922,1.1258,1.6664
2020-05-22,1.836,1.1259,1.7101
2020-05-29,1.8789,1.1213,1.7576
2020-06-05,1.951,1.1128,1.8382
2020-06-12,1.9232,1.1143,1.8089
2020-06-19,1.9588,1.1119,1.8469
2020-06-24,1.9512,1.111,1.8402
2020-07-03,2.0009,1.1133,1.8876
2020-07-10,2.0672,1.105,1.9622
2020-07-17,2.0519,1.1065,1.9454
2020-07-24,2.0773,1.1113,1.966
2020-07-31,2.1102,1.1096,2.0006
2020-08-07,2.1323,1.1091,2.0232
2020-08-14,2.1386,1.1101,2.0285
2020-08-21,2.179,1.1089,2.0701
2020-08-28,2.1627,1.1059,2.0568
2020-09-04,2.1498,1.1051,2.0447
2020-09-11,2.1622,1.1058,2.0564
2020-09-18,2.1876,1.1061,2.0815
2020-09-25,2.1916,1.1071,2.0845
2020-09-30,2.2181,1.1066,2.1115
2020-10-09,2.2126,1.1066,2.106
2020-10-16,2.2037,1.1061,2.0976
2020-10-23,2.1965,1.1087,2.0878
2020-10-30,2.243,1.1099,2.1331
2020-11-06,2.3014,1.1112,2.1902
2020-11-13,2.3027,1.11,2.1927
2020-11-20,2.3084,1.1081,2.2003
2020-11-27,2.3316,1.11,2.2216
2020-12-04,2.3296,1.1121,2.2175
2020-12-11,2.3677,1.113,2.2547
2020-12-18,2.3472,1.1146,2.2326
2020-12-25,2.3731,1.1179,2.2552
2020-12-31,2.3991,1.12,2.2791
2021-01-08,2.4251,1.1221,2.303
2021-01-15,2.4335,1.1243,2.3092
2021-01-22,2.4621,1.1251,2.337
2021-01-29,2.431,1.1231,2.3079
2021-02-05,2.459,1.1225,2.3365
