date,nav_adjusted,NH0100.NHF,excess_nav
2018-05-18,1.0,1.0,1.0
2018-05-25,1.0,0.9917,1.0083
2018-06-01,1.0,1.0081,0.9919
2018-06-08,0.999,1.0063,0.9927
2018-06-15,0.999,1.0117,0.9873
2018-06-22,1.001,0.9842,1.0168
2018-06-29,0.997,1.0049,0.9921
2018-07-06,0.981,0.9834,0.9976
2018-07-13,0.982,0.9835,0.9985
2018-07-20,0.981,0.9899,0.9911
2018-07-27,0.981,1.0144,0.9666
2018-08-03,0.958,1.0263,0.9317
2018-08-10,0.964,1.0412,0.9228
2018-08-17,0.955,1.0401,0.9149
2018-08-24,0.963,1.0459,0.9171
2018-08-31,0.965,1.034,0.931
2018-09-07,0.958,1.028,0.93
2018-09-14,0.933,1.0296,0.9034
2018-09-21,0.958,1.0421,0.9159
2018-09-28,0.98,1.0392,0.9408
2018-10-12,0.926,1.0729,0.8531
2018-10-19,0.922,1.0535,0.8685
2018-10-26,0.923,1.0562,0.8668
2018-11-02,0.929,1.0243,0.9047
2018-11-09,0.885,1.0125,0.8725
2018-11-16,0.883,1.0075,0.8755
2018-11-23,0.884,0.9618,0.9222
2018-11-30,0.883,0.9551,0.9279
2018-12-07,0.883,0.9809,0.9021
2018-12-14,0.873,0.9821,0.8909
2018-12-21,0.868,0.9749,0.8931
2018-12-28,0.873,0.9608,0.9122
2019-01-04,0.877,0.9799,0.8971
2019-01-11,0.877,0.9903,0.8867
2019-01-18,0.859,1.0068,0.8522
2019-01-25,0.857,1.0094,0.8476
2019-02-01,0.858,1.0355,0.8225
2019-02-15,0.866,1.0273,0.8387
2019-02-22,0.874,1.0528,0.8212
2019-03-01,0.878,1.0592,0.8188
2019-03-08,0.883,1.0338,0.8492
2019-03-15,0.882,1.0346,0.8474
2019-03-22,0.885,1.0347,0.8503
2019-03-29,0.868,1.026,0.842
2019-04-04,0.91,1.0521,0.8579
2019-04-12,0.874,1.0646,0.8094
2019-04-19,0.889,1.051,0.838
2019-04-26,0.865,1.0471,0.8179
2019-04-30,0.86,1.0549,0.8051
2019-05-10,0.842,1.0552,0.7868
2019-05-17,0.846,1.0694,0.7766
2019-05-24,0.846,1.0675,0.7785
2019-05-31,0.844,1.0545,0.7895
2019-06-06,0.845,1.0362,0.8088
2019-06-14,0.843,1.0527,0.7903
2019-06-21,0.846,1.0651,0.7809
2019-06-28,0.847,1.0771,0.7699
2019-07-05,0.851,1.0738,0.7772
2019-07-12,0.852,1.0816,0.7704
2019-07-19,0.857,1.0976,0.7594
2019-07-26,0.858,1.081,0.777
2019-08-02,0.857,1.0667,0.7903
2019-08-09,0.859,1.0518,0.8072
2019-08-16,0.867,1.054,0.813
2019-08-23,0.868,1.0534,0.8146
2019-08-30,0.867,1.0595,0.8075
2019-09-06,0.867,1.0681,0.7989
2019-09-12,0.865,1.0872,0.7778
