date,nav_adjusted,NH0100.NHF,excess_nav
2019-06-06,1.0,1.0,1.0
2019-06-14,0.9998,1.0159,0.9839
2019-06-21,0.9997,1.0278,0.9719
2019-06-28,0.9997,1.0394,0.9603
2019-07-05,0.9996,1.0362,0.9634
2019-07-12,0.9995,1.0438,0.9557
2019-07-19,0.9994,1.0593,0.9401
2019-07-26,0.9993,1.0432,0.9561
2019-08-02,0.9992,1.0293,0.9699
2019-08-09,0.9991,1.015,0.9841
2019-08-16,0.9886,1.0171,0.9715
2019-08-23,0.9909,1.0166,0.9743
2019-08-30,0.9463,1.0224,0.9239
2019-09-06,0.9431,1.0307,0.9124
2019-09-12,0.9524,1.0491,0.9033
2019-09-20,0.955,1.0352,0.9198
2019-09-27,0.9543,1.0254,0.9289
2019-09-30,0.959,1.0288,0.9302
2019-10-11,0.9614,1.0307,0.9307
2019-10-18,0.9612,1.0147,0.9465
2019-10-25,0.986,1.0274,0.9586
2019-11-01,0.9645,1.0233,0.9412
2019-11-08,0.9603,1.0177,0.9426
2019-11-15,0.9475,1.0184,0.9291
2019-11-22,0.9362,1.0324,0.9038
2019-11-29,0.9501,1.0309,0.9192
2019-12-06,0.9499,1.0413,0.9086
2019-12-13,0.9496,1.0594,0.8902
2019-12-20,0.9494,1.0614,0.888
2019-12-27,0.9415,1.0706,0.8709
2020-01-03,0.9413,1.0718,0.8695
2020-01-10,0.9602,1.0707,0.8895
2020-01-17,0.9692,1.0659,0.9033
2020-01-23,0.9607,1.0402,0.9205
2020-02-07,0.9741,0.9925,0.9816
2020-02-14,1.0021,1.0028,0.9993
2020-02-21,1.0609,1.0235,1.0374
2020-02-28,1.1106,0.9609,1.1497
2020-03-06,1.1249,0.9813,1.1436
2020-03-13,1.2571,0.9416,1.3155
2020-03-20,1.3504,0.8995,1.4509
2020-03-27,1.371,0.9002,1.4708
2020-04-03,1.3886,0.9008,1.4878
2020-04-10,1.4145,0.9395,1.475
2020-04-17,1.3991,0.9244,1.4747
2020-04-24,1.3705,0.916,1.4545
2020-04-30,1.3686,0.9231,1.4455
2020-05-08,1.4218,0.9446,1.4772
2020-05-15,1.4208,0.9481,1.4727
2020-05-22,1.4717,0.9611,1.5106
2020-05-29,1.4792,0.9793,1.4999
2020-06-05,1.5637,1.0003,1.5634
2020-06-12,1.5436,0.9911,1.5525
2020-06-19,1.5352,1.0091,1.5261
2020-06-24,1.5355,1.0049,1.5306
2020-07-03,1.5492,1.0049,1.5443
2020-07-10,1.726,1.0109,1.7151
2020-07-17,1.7868,1.0223,1.7645
2020-07-24,1.7837,1.0306,1.7531
2020-07-31,1.7653,1.0346,1.7307
