date,nav_adjusted,H11009.CSI,excess_nav
2023-04-28,1.0001,1.0,1.0001
2023-05-05,1.0002,1.0027,0.9975
2023-05-12,1.0003,1.0048,0.9955
2023-05-19,1.0003,1.0055,0.9948
2023-05-26,1.0005,1.0063,0.9942
2023-06-02,1.0007,1.0076,0.9931
2023-06-09,1.0009,1.0092,0.9917
2023-06-16,1.0018,1.0101,0.9917
2023-06-21,0.9982,1.0103,0.9879
2023-06-30,1.0049,1.0123,0.9926
2023-07-07,1.0047,1.013,0.9917
2023-07-14,0.9979,1.0142,0.9837
2023-07-21,0.9984,1.0157,0.9827
2023-07-28,0.9993,1.0157,0.9836
2023-08-04,1.0011,1.0167,0.9844
2023-08-11,1.0013,1.0179,0.9834
2023-08-18,1.0018,1.0212,0.9806
2023-08-25,1.003,1.0226,0.9804
2023-09-01,1.0078,1.0219,0.9859
2023-09-08,1.0094,1.0189,0.9905
2023-09-15,1.0128,1.0196,0.9932
2023-09-22,1.0121,1.0185,0.9936
2023-09-28,1.0118,1.0193,0.9925
2023-10-13,1.017,1.0186,0.9984
2023-10-20,1.0186,1.0173,1.0013
2023-10-27,1.0197,1.0171,1.0026
2023-11-03,1.0208,1.0186,1.0022
2023-11-10,1.0226,1.0193,1.0033
2023-11-17,1.0222,1.0209,1.0013
2023-11-24,1.0228,1.0209,1.0019
2023-12-01,1.0233,1.0225,1.0008
2023-12-08,1.0216,1.0229,0.9987
2023-12-15,1.021,1.0258,0.9952
2023-12-22,1.0198,1.0288,0.991
2023-12-29,1.0198,1.0328,0.987
2024-01-05,1.0202,1.0343,0.9859
2024-01-12,1.0209,1.0351,0.9858
2024-01-19,1.0241,1.0376,0.9865
2024-01-26,1.0275,1.0399,0.9876
2024-02-02,1.0312,1.0443,0.9869
2024-02-08,1.0691,1.045,1.0241
2024-02-23,1.0733,1.0485,1.0248
2024-03-01,1.0752,1.0503,1.0249
2024-03-08,1.0763,1.054,1.0223
2024-03-15,1.0764,1.0516,1.0248
2024-03-22,1.076,1.053,1.023
2024-03-29,1.0774,1.0544,1.023
2024-04-03,1.0767,1.0554,1.0213
2024-04-12,1.0766,1.0577,1.0189
2024-04-19,1.0773,1.0605,1.0168
2024-04-26,1.0763,1.0603,1.016
2024-04-30,1.0764,1.0598,1.0166
2024-05-10,1.0765,1.0594,1.0171
2024-05-17,1.0773,1.0607,1.0166
2024-05-24,1.0777,1.0619,1.0158
2024-05-31,1.078,1.0634,1.0146
2024-06-07,1.0791,1.0659,1.0132
2024-06-14,1.0787,1.0677,1.011
2024-06-21,1.0795,1.07,1.0095
2024-06-28,1.0797,1.0728,1.0069
2024-07-05,1.0806,1.0728,1.0078
2024-07-12,1.0801,1.0735,1.0066
2024-07-19,1.0804,1.0746,1.0058
2024-07-26,1.0804,1.0784,1.002
2024-08-02,1.0793,1.0826,0.9967
2024-08-09,1.0803,1.0822,0.9981
2024-08-16,1.0817,1.0814,1.0003
2024-08-23,1.0822,1.083,0.9992
2024-08-30,1.0808,1.0823,0.9985
2024-09-06,1.0813,1.0859,0.9954
2024-09-13,1.0787,1.0901,0.9886
2024-09-20,1.0798,1.0922,0.9876
2024-09-27,1.0725,1.087,0.9855
2024-09-30,1.1234,1.085,1.0384
2024-10-11,1.282,1.0849,1.1971
2024-10-18,1.2869,1.0874,1.1995
2024-10-25,1.291,1.0851,1.2059
2024-11-01,1.2917,1.0864,1.2053
2024-11-08,1.2904,1.0891,1.2013
2024-11-15,1.2892,1.0904,1.1988
2024-11-22,1.2881,1.0905,1.1976
2024-11-29,1.2906,1.0948,1.1958
2024-12-06,1.2907,1.1003,1.1904
2024-12-13,1.2925,1.1098,1.1827
2024-12-20,1.2938,1.1121,1.1817
2024-12-27,1.2932,1.113,1.1802
2025-01-03,1.2906,1.1195,1.1711
2025-01-10,1.2912,1.1177,1.1735
2025-01-17,1.2923,1.1177,1.1746
2025-01-24,1.2939,1.1173,1.1766
2025-01-27,1.2942,1.1194,1.1748
2025-02-07,1.2981,1.1215,1.1766
2025-02-14,1.2947,1.1206,1.1741
2025-02-21,1.2955,1.1149,1.1806
2025-02-28,1.2961,1.1116,1.1845
2025-03-07,1.2982,1.1076,1.1906
2025-03-14,1.2989,1.1048,1.1941
2025-03-21,1.2991,1.105,1.1941
2025-03-28,1.2989,1.1066,1.1923
2025-04-03,1.3001,1.1142,1.1859
2025-04-11,1.3062,1.1175,1.1887
2025-04-18,1.3074,1.118,1.1894
2025-04-25,1.3079,1.1176,1.1903
2025-04-30,1.3082,1.1207,1.1875
2025-05-09,1.3094,1.1222,1.1872
2025-05-16,1.3106,1.1197,1.1909
2025-05-23,1.3103,1.1205,1.1898
2025-05-30,1.3103,1.1204,1.1899
2025-06-06,1.3104,1.122,1.1884
2025-06-13,1.3106,1.1245,1.1861
2025-06-20,1.3096,1.1273,1.1823
2025-06-27,1.3088,1.1268,1.182
2025-07-04,1.3091,1.1285,1.1806
2025-07-11,1.3079,1.1275,1.1804
2025-07-18,1.3097,1.1286,1.1811
2025-07-25,1.3103,1.1238,1.1865
