date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2017-05-19,1.0,1.0,1.0,1.0,1.0
2017-05-26,1.0,1.0,1.0,0.988,1.012
2017-06-02,1.007,1.007,1.007,0.9477,1.0593
2017-06-09,1.005,1.005,1.005,0.955,1.05
2017-06-16,0.992,0.992,0.992,0.9657,1.0263
2017-06-23,0.985,0.985,0.985,0.9748,1.0102
2017-06-30,0.999,0.999,0.999,1.0089,0.9901
2017-07-07,1.004,1.004,1.004,1.016,0.988
2017-07-14,1.021,1.021,1.021,1.0303,0.9907
2017-07-21,1.037,1.037,1.037,1.0604,0.9766
2017-07-28,1.03,1.03,1.03,1.0556,0.9744
2017-08-04,1.051,1.051,1.051,1.0825,0.9685
2017-08-11,1.062,1.062,1.062,1.0935,0.9685
2017-08-18,1.056,1.056,1.056,1.1235,0.9325
2017-08-25,1.08,1.08,1.08,1.148,0.932
2017-09-01,1.076,1.076,1.076,1.1483,0.9277
2017-09-08,1.068,1.068,1.068,1.1283,0.9397
2017-09-15,1.058,1.058,1.058,1.0998,0.9582
2017-09-22,1.083,1.083,1.083,1.0581,1.0249
2017-09-29,1.095,1.095,1.095,1.0508,1.0442
2017-10-13,1.089,1.089,1.089,1.0709,1.0181
2017-10-20,1.076,1.076,1.076,1.0727,1.0033
2017-10-27,1.072,1.072,1.072,1.0429,1.0291
2017-11-03,1.064,1.064,1.064,1.0575,1.0065
2017-11-10,1.067,1.067,1.067,1.0779,0.9891
2017-11-17,1.056,1.056,1.056,1.0681,0.9879
2017-11-24,1.069,1.069,1.069,1.1055,0.9635
2017-12-01,1.072,1.072,1.072,1.1081,0.9639
2017-12-08,1.057,1.057,1.057,1.0843,0.9727
2017-12-15,1.047,1.047,1.047,1.0827,0.9643
2017-12-22,1.041,1.041,1.041,1.105,0.936
2017-12-29,1.032,1.032,1.032,1.097,0.935
2018-01-05,1.031,1.031,1.031,1.1081,0.9229
2018-01-12,1.03,1.03,1.03,1.1076,0.9224
2018-01-19,1.024,1.024,1.024,1.0994,0.9246
2018-01-26,1.026,1.026,1.026,1.1042,0.9218
2018-02-02,1.033,1.033,1.033,1.0944,0.9386
2018-02-09,1.057,1.057,1.057,1.0821,0.9749
2018-02-14,1.046,1.046,1.046,1.0979,0.9481
2018-02-23,1.038,1.038,1.038,1.1148,0.9232
2018-03-02,1.042,1.042,1.042,1.1183,0.9237
2018-03-09,1.049,1.049,1.049,1.0705,0.9785
2018-03-16,1.058,1.058,1.058,1.07,0.988
2018-03-23,1.099,1.099,1.099,1.0249,1.0741
2018-03-30,1.106,1.106,1.106,1.0354,1.0706
2018-04-04,1.097,1.097,1.097,1.0366,1.0604
2018-04-13,1.093,1.093,1.093,1.0438,1.0492
2018-04-20,1.079,1.079,1.079,1.0529,1.0261
2018-04-27,1.079,1.079,1.079,1.0567,1.0223
2018-05-04,1.087,1.087,1.087,1.0716,1.0154
2018-05-11,1.088,1.088,1.088,1.0785,1.0095
2018-05-18,1.098,1.098,1.098,1.0752,1.0228
2018-05-25,1.076,1.076,1.076,1.0663,1.0097
2018-06-01,1.069,1.069,1.069,1.0839,0.9851
2018-06-08,1.062,1.062,1.062,1.082,0.98
2018-06-15,1.079,1.079,1.079,1.0878,0.9912
2018-06-22,1.078,1.078,1.078,1.0582,1.0198
2018-06-29,1.066,1.066,1.066,1.0805,0.9855
2018-07-06,1.068,1.068,1.068,1.0574,1.0106
2018-07-13,1.069,1.069,1.069,1.0575,1.0115
2018-07-20,1.066,1.066,1.066,1.0644,1.0016
2018-07-27,1.087,1.087,1.087,1.0907,0.9963
2018-08-03,1.124,1.124,1.124,1.1035,1.0205
2018-08-10,1.141,1.141,1.141,1.1196,1.0214
2018-08-17,1.168,1.168,1.168,1.1183,1.0497
2018-08-24,1.15,1.15,1.15,1.1246,1.0254
2018-08-31,1.147,1.147,1.147,1.1118,1.0352
2018-09-07,1.138,1.138,1.138,1.1053,1.0327
2018-09-14,1.129,1.129,1.129,1.107,1.022
2018-09-21,1.126,1.126,1.126,1.1205,1.0055
