date,nav_adjusted,NH0100.NHF,excess_nav
2023-01-06,1.0,1.0,1.0
2023-01-13,0.9999,1.0219,0.978
2023-01-20,1.0068,1.0453,0.9615
2023-02-03,1.0149,1.0216,0.9933
2023-02-10,1.0168,1.0145,1.0023
2023-02-17,1.0124,1.0232,0.9892
2023-02-24,1.0154,1.0352,0.9802
2023-03-03,1.0204,1.0395,0.9809
2023-03-10,1.0154,1.0189,0.9965
2023-03-17,1.0182,0.9967,1.0215
2023-03-24,1.0377,0.9942,1.0435
2023-03-31,1.0362,1.0078,1.0284
2023-04-07,1.0431,1.0147,1.0284
2023-04-14,1.0442,1.0093,1.0349
2023-04-21,1.0413,0.9883,1.053
2023-04-28,1.0608,0.9664,1.0944
2023-05-05,1.0545,0.956,1.0985
2023-05-12,1.0482,0.9376,1.1106
2023-05-19,1.0626,0.9525,1.1101
2023-05-26,1.0686,0.9305,1.1381
2023-06-02,1.0803,0.9447,1.1356
2023-06-09,1.0808,0.9645,1.1163
2023-06-16,1.0846,0.9894,1.0952
2023-06-21,1.0791,0.9848,1.0943
2023-06-30,1.0766,0.9866,1.09
2023-07-07,1.0822,0.9971,1.0851
2023-07-14,1.085,1.0306,1.0544
2023-07-21,1.0819,1.0397,1.0422
2023-07-28,1.0915,1.051,1.0405
2023-08-04,1.0971,1.0442,1.0529
2023-08-11,1.0927,1.045,1.0477
2023-08-18,1.0972,1.0557,1.0415
2023-08-25,1.0937,1.0851,1.0086
2023-09-01,1.1113,1.1112,1.0001
2023-09-08,1.0985,1.0975,1.001
2023-09-15,1.0993,1.1275,0.9718
2023-09-22,1.1017,1.1135,0.9882
2023-09-28,1.108,1.1097,0.9983
2023-10-13,1.1058,1.0767,1.0291
2023-10-20,1.1198,1.084,1.0358
2023-10-27,1.112,1.0927,1.0193
2023-11-03,1.1229,1.1016,1.0213
2023-11-10,1.133,1.0973,1.0357
2023-11-17,1.1405,1.0918,1.0487
2023-11-24,1.1528,1.0946,1.0582
2023-12-01,1.1746,1.0901,1.0845
2023-12-08,1.2091,1.0937,1.1154
2023-12-15,1.2095,1.0797,1.1298
2023-12-22,1.2154,1.1008,1.1146
2023-12-29,1.2181,1.0857,1.1324
2024-01-05,1.2227,1.0815,1.1412
2024-01-12,1.2257,1.0756,1.1501
2024-01-19,1.2108,1.0802,1.1306
2024-01-26,1.2246,1.0984,1.1262
2024-02-02,1.2405,1.0663,1.1742
2024-02-08,1.2702,1.0753,1.1949
2024-02-23,1.2525,1.0813,1.1712
2024-03-01,1.2548,1.0832,1.1716
2024-03-08,1.2638,1.1003,1.1635
2024-03-15,1.2762,1.0949,1.1813
2024-03-22,1.2784,1.1044,1.174
2024-03-29,1.2889,1.0883,1.2006
